dataset,zero_index_pair,q_geometric,side,A,B,distance_near,distance_far,count_upper_raw,count_upper,known_endpoint_excluded,fmax,G_bound
around_1e12,1000000008625/1000000008626,1.25,left,267653397836.976492,267653397842.208087,20.9263785256,26.157973157,36.0,35.0,True,0.00456590158691468527,0.159806555542013984
around_1e12,1000000008625/1000000008626,1.25,left,267653397830.436999,267653397836.976492,26.157973157,32.69746644625,41.0,41.0,False,0.00292233214152437311,0.119815617802499298
around_1e12,1000000008625/1000000008626,1.25,left,267653397822.262632,267653397830.436999,32.69746644625,40.8718330578125,47.0,47.0,False,0.00187037200642336524,0.0879074843018981663
around_1e12,1000000008625/1000000008626,1.25,left,267653397812.044674,267653397822.262632,40.8718330578125,51.089791322265625,55.0,55.0,False,0.00119707875993013251,0.0658393317961572881
around_1e12,1000000008625/1000000008626,1.25,left,267653397799.272226,267653397812.044674,51.089791322265625,63.8622391528320312,65.0,65.0,False,0.000766151234285802543,0.0497998302285771653
around_1e12,1000000008625/1000000008626,1.25,left,267653397783.306666,267653397799.272226,63.8622391528320312,79.8277989410400391,77.0,77.0,False,0.000490347454626211091,0.037756754006218254
around_1e12,1000000008625/1000000008626,1.25,left,267653397763.349716,267653397783.306666,79.8277989410400391,99.7847486763000488,93.0,93.0,False,0.000313827831599316294,0.0291859883387364154
around_1e12,1000000008625/1000000008626,1.25,left,267653397738.403529,267653397763.349716,99.7847486763000488,124.730935845375061,112.0,112.0,False,0.000200852608201860626,0.0224954921186083901
around_1e12,1000000008625/1000000008626,1.25,left,267653397707.220795,267653397738.403529,124.730935845375061,155.913669806718826,137.0,137.0,False,0.000128547100843889671,0.0176109528156128849
around_1e12,1000000008625/1000000008626,1.25,left,267653397668.242378,267653397707.220795,155.913669806718826,194.892087258398533,167.0,167.0,False,0.0000822708775386168647,0.0137392365489490164
around_1e12,1000000008625/1000000008626,1.25,left,267653397619.519356,267653397668.242378,194.892087258398533,243.615109072998166,205.0,205.0,False,0.0000526537369289894492,0.0107940160704428371
around_1e12,1000000008625/1000000008626,1.25,left,267653397558.615579,267653397619.519356,243.615109072998166,304.518886341247708,252.0,252.0,False,0.0000336985837940400882,0.00849204311609810223
