dataset,zero_index_left,zero_index_right,q_geometric,gbar_upper_hp,gap_delta,assumed_endpoint_error,gap_delta_worst_plus_2eps,gbar_gap_uncertainty_worst,G_total_multiplier_to_hit_0_8,G_total_multiplier_to_hit_0_8_after_gap_uncertainty,still_below_after_gap_uncertainty
around_1e12,1000000008625,1000000008626,1.25,0.0014258627321561237,0.0055569683,1e-08,0.0055569883,0.0014258729957762923,561.0638261021642,561.0597874914193,True
around_1e12,1000000008625,1000000008626,1.5,0.0014260539852877856,0.0055569683,1e-08,0.0055569883,0.0014260642502846293,560.9885798527856,560.9845417836731,True
around_1e12,1000000008625,1000000008626,2.0,0.001426446130576797,0.0055569683,1e-08,0.0055569883,0.001426456398396374,560.8343580956067,560.8303211366026,True
around_1e12,1000000008625,1000000008626,4.0,0.001428025068889893,0.0055569683,1e-08,0.0055569883,0.001428035348074956,560.2142549373435,560.210222441923,True
first_100k,95248,95249,1.25,0.0020096669441776053,0.014701476,3e-09,0.014701482,0.002009668584557676,398.07591119401906,398.07558626691593,True
first_100k,95248,95249,1.5,0.002009718065799589,0.014701476,3e-09,0.014701482,0.002009719706221388,398.0657852531723,398.0654603343344,True
first_100k,95248,95249,2.0,0.002009821052458785,0.014701476,3e-09,0.014701482,0.002009822692964646,398.0453876832925,398.04506278110404,True
first_100k,95248,95249,4.0,0.0020102357834512635,0.014701476,3e-09,0.014701482,0.0020102374242956466,397.96326708826365,397.96294225310555,True
first_100k,87761,87762,1.25,0.0037553488840485053,0.019484628,3e-09,0.019484634,0.0037553511968559934,213.02947467760947,213.02934347918398,True
first_100k,87761,87762,1.5,0.0037553843135225673,0.019484628,3e-09,0.019484634,0.0037553866263518756,213.02746489069622,213.02733369350847,True
first_100k,87761,87762,2.0,0.003755455557747302,0.019484628,3e-09,0.019484634,0.003755457870620487,213.02342357630707,213.0232923816083,True
first_100k,87761,87762,4.0,0.0037557435216879153,0.019484628,3e-09,0.019484634,0.003755745834738449,213.00709044169824,213.00695925705853,True
first_100k,82552,82553,1.25,0.004557749999650186,0.020849501,3e-09,0.020849507,0.004557752622878814,175.52520433577996,175.5251033117054,True
first_100k,82552,82553,1.5,0.004557778638616116,0.020849501,3e-09,0.020849507,0.004557781261861227,175.52410141684834,175.52400039340856,True
first_100k,82552,82553,2.0,0.004557836239208525,0.020849501,3e-09,0.020849507,0.004557838862486788,175.52188319493487,175.5217821727718,True
first_100k,82552,82553,4.0,0.004558069567681744,0.020849501,3e-09,0.020849507,0.0045580721910943,175.51289819538314,175.51279717839142,True
around_1e21,1000000000000000001635,1000000000000000001636,1.25,0.005779888772878679,0.00530012,1e-06,0.0053021200000000004,0.005784251677336116,138.41096800234087,138.30656835603543,True
around_1e21,1000000000000000001635,1000000000000000001636,1.5,0.005780387069416617,0.00530012,1e-06,0.0053021200000000004,0.005784750350009352,138.39903632625413,138.29464567968895,True
around_1e21,1000000000000000001635,1000000000000000001636,2.0,0.005781412388543961,0.00530012,1e-06,0.0053021200000000004,0.005785776443090931,138.3744916009146,138.2701194677713,True
around_1e21,1000000000000000001635,1000000000000000001636,4.0,0.005785544530343543,0.00530012,1e-06,0.0053021200000000004,0.005789911704005877,138.27566200626865,138.17136441761323,True
first_100k,73997,73998,1.25,0.005971349978877063,0.02583928,3e-09,0.025839286,0.0059713527520274,133.9730551432933,133.9729929249923,True
first_100k,73997,73998,1.5,0.005971379708254597,0.02583928,3e-09,0.025839286,0.005971382481418741,133.9723881390614,133.97232592107014,True
first_100k,73997,73998,2.0,0.005971439539627497,0.02583928,3e-09,0.025839286,0.005971442312819427,133.97104579072817,133.9709835733603,True
first_100k,73997,73998,4.0,0.005971682624405048,0.02583928,3e-09,0.025839286,0.005971685397709869,133.96559233247984,133.96553011764462,True
around_1e12,1000000004240,1000000004241,1.25,0.006502661536669405,0.0113810798,1e-08,0.0113810998,0.006502684390976253,123.02654774336473,123.02611535478434,True
around_1e12,1000000004240,1000000004241,1.5,0.006503059703173911,0.0113810798,1e-08,0.0113810998,0.006503082558880159,123.01901512753275,123.01858276542646,True
around_1e12,1000000004240,1000000004241,2.0,0.00650386242611693,0.0113810798,1e-08,0.0113810998,0.006503885284644434,123.00383181346481,123.00339950472171,True
around_1e12,1000000004240,1000000004241,4.0,0.00650708018304881,0.0113810798,1e-08,0.0113810998,0.006507103052885469,122.94300630934752,122.94257421438148,True
around_1e21,1000000000000000006362,1000000000000000006363,1.25,0.012781038814007871,0.00924875,1e-06,0.00925075,0.012786567094363457,62.59272126794649,62.565659265390636,True
around_1e21,1000000000000000006362,1000000000000000006363,1.5,0.012781954415480435,0.00924875,1e-06,0.00925075,0.01278748309186812,62.588237604032365,62.561177539991434,True
around_1e21,1000000000000000006362,1000000000000000006363,2.0,0.012783808192651958,0.00924875,1e-06,0.00925075,0.012789337670868045,62.57916169767272,62.55210555760563,True
around_1e21,1000000000000000006362,1000000000000000006363,4.0,0.012791247554019421,0.00924875,1e-06,0.00925075,0.012796780250039311,62.542765795242104,62.51572539096641,True
around_1e12,1000000008732,1000000008733,1.25,0.01677797720590821,0.0147160977,1e-08,0.0147161177,0.016778022810358378,47.681552441154075,47.6814228376241,True
around_1e12,1000000008732,1000000008733,1.5,0.0167794096250035,0.0147160977,1e-08,0.0147161177,0.016779455233347146,47.67748197814399,47.677352385677956,True
around_1e12,1000000008732,1000000008733,2.0,0.016782353644352422,0.0147160977,1e-08,0.0147161177,0.016782399260698248,47.66911822700239,47.66898865726993,True
around_1e12,1000000008732,1000000008733,4.0,0.016794214785890188,0.0147160977,1e-08,0.0147161177,0.016794260434475947,47.635451266952195,47.63532178873011,True
around_1e12,1000000003033,1000000003034,1.25,0.028551832400029065,0.0224283327,1e-08,0.0224283527,0.02855188332105919,28.01921742855235,28.019167457508455,True
around_1e12,1000000003033,1000000003034,1.5,0.028553613838957798,0.0224283327,1e-08,0.0224283527,0.028553664763165048,28.01746933022191,28.01741936229567,True
around_1e12,1000000003033,1000000003034,2.0,0.02855721413139814,0.0224283327,1e-08,0.0224283527,0.028557265062026365,28.01393708500489,28.013887123378254,True
around_1e12,1000000003033,1000000003034,4.0,0.028571655489043602,0.0224283327,1e-08,0.0224283527,0.0285717064454274,27.99977762250342,27.999727686129564,True
